del_county	del_state	del_county_full_name	pop_density	median_hh_income
Taylor County	WV	"Taylor County, West Virginia"	37.33169009	48578
Tucker County	WV	"Tucker County, West Virginia"	6.230420269	49118
Tyler County	WV	"Tyler County, West Virginia"	12.52300026	43087
Upshur County	WV	"Upshur County, West Virginia"	25.92903755	40322
Wayne County	WV	"Wayne County, West Virginia"	29.74481152	37988
Webster County	WV	"Webster County, West Virginia"	5.844520323	34927
Wetzel County	WV	"Wetzel County, West Virginia"	15.57275118	43107
Wirt County	WV	"Wirt County, West Virginia"	8.625026075	46048
Wood County	WV	"Wood County, West Virginia"	88.80463073	47321
Wyoming County	WV	"Wyoming County, West Virginia"	16.52879842	42332
Ashland County	WI	"Ashland County, Wisconsin"	5.921760227	42510
Custer County	CO	"Custer County, Colorado"	2.458923877	
Delta County	CO	"Delta County, Colorado"	10.54599068	45269
Dolores County	CO	"Dolores County, Colorado"	0.841546642	
Douglas County	CO	"Douglas County, Colorado"	164.4948989	119730
Eagle County	CO	"Eagle County, Colorado"	12.77426906	84790
Elbert County	CO	"Elbert County, Colorado"	5.436782549	99199
El Paso County	CO	"El Paso County, Colorado"	132.6208536	68779
Fremont County	CO	"Fremont County, Colorado"	12.31880949	49409
Garfield County	CO	"Garfield County, Colorado"	8.08050267	75937
Gilpin County	CO	"Gilpin County, Colorado"	14.94762348	76429
Grand County	CO	"Grand County, Colorado"	3.286524495	71198
Gunnison County	CO	"Gunnison County, Colorado"	2.016608195	56577
Hinsdale County	CO	"Hinsdale County, Colorado"	0.272323769	
Huerfano County	CO	"Huerfano County, Colorado"	1.655035998	38137
Jackson County	CO	"Jackson County, Colorado"	0.329941387	
Jefferson County	CO	"Jefferson County, Colorado"	294.4383407	82986
Kiowa County	CO	"Kiowa County, Colorado"	0.315816815	
Kit Carson County	CO	"Kit Carson County, Colorado"	1.266326728	49349
Lake County	CO	"Lake County, Colorado"	7.617167754	50565
La Plata County	CO	"La Plata County, Colorado"	12.71360935	68685
Larimer County	CO	"Larimer County, Colorado"	53.40848532	71881
Las Animas County	CO	"Las Animas County, Colorado"	1.177412514	41817
Lincoln County	CO	"Lincoln County, Colorado"	0.850039715	47258
Logan County	CO	"Logan County, Colorado"	4.520838975	53318
Mesa County	CO	"Mesa County, Colorado"	18.06016862	55379
Moffat County	CO	"Moffat County, Colorado"	1.08197483	57229
Montezuma County	CO	"Montezuma County, Colorado"	4.918007818	49470
Morgan County	CO	"Morgan County, Colorado"	8.77778188	53682
Ouray County	CO	"Ouray County, Colorado"	3.480601623	
Park County	CO	"Park County, Colorado"	3.060991566	73622
Pitkin County	CO	"Pitkin County, Colorado"	6.904246504	78935
Prowers County	CO	"Prowers County, Colorado"	2.827647204	41929
Rio Blanco County	CO	"Rio Blanco County, Colorado"	0.782640226	54357
Rio Grande County	CO	"Rio Grande County, Colorado"	4.885357557	39123
Saguache County	CO	"Saguache County, Colorado"	0.775965757	38571
San Miguel County	CO	"San Miguel County, Colorado"	2.422130983	67038
Sedgwick County	CO	"Sedgwick County, Colorado"	1.693650694	
Teller County	CO	"Teller County, Colorado"	17.12621585	66592
Washington County	CO	"Washington County, Colorado"	0.738599004	
Yuma County	CO	"Yuma County, Colorado"	1.631023129	52022
New Castle County	DE	"New Castle County, Delaware"	516.8587302	73892
Sussex County	DE	"Sussex County, Delaware"	97.90263078	63162
Big Horn County	MT	"Big Horn County, Montana"	1.013884105	49859
Blaine County	MT	"Blaine County, Montana"	0.643333596	41279
Carbon County	MT	"Carbon County, Montana"	1.974648606	58707
Carter County	MT	"Carter County, Montana"	0.163549853	
Chouteau County	MT	"Chouteau County, Montana"	0.572954305	42298
Daniels County	MT	"Daniels County, Montana"	0.449645405	
Dawson County	MT	"Dawson County, Montana"	1.455253389	58596
Fallon County	MT	"Fallon County, Montana"	0.726415835	
Fergus County	MT	"Fergus County, Montana"	1.018435132	50540
Gallatin County	MT	"Gallatin County, Montana"	17.62936857	66397
Garfield County	MT	"Garfield County, Montana"	0.096844238	
Golden Valley County	MT	"Golden Valley County, Montana"	0.270568768	
Hill County	MT	"Hill County, Montana"	2.171806983	49321
Jefferson County	MT	"Jefferson County, Montana"	2.815964088	69646
Lake County	MT	"Lake County, Montana"	8.065191696	48829
Lewis and Clark County	MT	"Lewis and Clark County, Montana"	7.923601068	65791
Lincoln County	MT	"Lincoln County, Montana"	2.103033525	40140
Putnam County	FL	"Putnam County, Florida"	38.86712372	37670
St. Johns County	FL	"St. Johns County, Florida"	175.7612266	82252
St. Lucie County	FL	"St. Lucie County, Florida"	222.3608043	52322
Santa Rosa County	FL	"Santa Rosa County, Florida"	71.69808215	67949
Sarasota County	FL	"Sarasota County, Florida"	301.3848753	62236
Seminole County	FL	"Seminole County, Florida"	587.6247234	66768
Sumter County	FL	"Sumter County, Florida"	89.9202375	57226
Suwannee County	FL	"Suwannee County, Florida"	24.37662132	47839
Taylor County	FL	"Taylor County, Florida"	8.065948468	40306
Union County	FL	"Union County, Florida"	25.59746954	44270
Volusia County	FL	"Volusia County, Florida"	194.0632274	49494
Wakulla County	FL	"Wakulla County, Florida"	21.49730152	61410
Walton County	FL	"Walton County, Florida"	28.00310982	58093
Washington County	FL	"Washington County, Florida"	16.71921022	37022
Adams County	NE	"Adams County, Nebraska"	21.38980123	53023
Antelope County	NE	"Antelope County, Nebraska"	2.835552871	49912
Banner County	NE	"Banner County, Nebraska"	0.348819474	
Blaine County	NE	"Blaine County, Nebraska"	0.234152466	
Box Butte County	NE	"Box Butte County, Nebraska"	3.892746472	54004
Boyd County	NE	"Boyd County, Nebraska"	1.294313951	
Buffalo County	NE	"Buffalo County, Nebraska"	19.97225245	59431
Burt County	NE	"Burt County, Nebraska"	5.279604882	54203
Cass County	NE	"Cass County, Nebraska"	18.42578276	71846
Cedar County	NE	"Cedar County, Nebraska"	4.370905919	61869
Cherry County	NE	"Cherry County, Nebraska"	0.353373978	56651
Cheyenne County	NE	"Cheyenne County, Nebraska"	3.056513569	53871
Colfax County	NE	"Colfax County, Nebraska"	9.925333103	58872
Custer County	NE	"Custer County, Nebraska"	1.580780069	52184
Dakota County	NE	"Dakota County, Nebraska"	31.53086864	59231
Dawson County	NE	"Dawson County, Nebraska"	9.189309402	53721
Deuel County	NE	"Deuel County, Nebraska"	1.613401104	
Dodge County	NE	"Dodge County, Nebraska"	27.12370881	54085
Douglas County	NE	"Douglas County, Nebraska"	691.4267009	64629
Fillmore County	NE	"Fillmore County, Nebraska"	3.724996504	60313
Franklin County	NE	"Franklin County, Nebraska"	1.937163408	
Furnas County	NE	"Furnas County, Nebraska"	2.489070978	
Gage County	NE	"Gage County, Nebraska"	9.841862001	53110
Garfield County	NE	"Garfield County, Nebraska"	1.229520695	
Gosper County	NE	"Gosper County, Nebraska"	1.595292541	
Greeley County	NE	"Greeley County, Nebraska"	1.482581493	
Hall County	NE	"Hall County, Nebraska"	44.44425858	57104
Harlan County	NE	"Harlan County, Nebraska"	2.143747258	
Hayes County	NE	"Hayes County, Nebraska"	0.463499036	
Holt County	NE	"Holt County, Nebraska"	1.620818184	60387
Hooker County	NE	"Hooker County, Nebraska"	0.380662533	
Jefferson County	NE	"Jefferson County, Nebraska"	4.902643558	44510
Johnson County	NE	"Johnson County, Nebraska"	5.431044804	54712
Keith County	NE	"Keith County, Nebraska"	3.031015739	50735
Keya Paha County	NE	"Keya Paha County, Nebraska"	0.384066473	
Polk County	FL	"Polk County, Florida"	155.7167043	50584
Knox County	NE	"Knox County, Nebraska"	2.922823251	52332
Lancaster County	NE	"Lancaster County, Nebraska"	148.7171068	60527
Logan County	NE	"Logan County, Nebraska"	0.484405019	
Loup County	NE	"Loup County, Nebraska"	0.415891958	
Madison County	NE	"Madison County, Nebraska"	23.99391094	53188
Merrick County	NE	"Merrick County, Nebraska"	6.076087906	55649
Nance County	NE	"Nance County, Nebraska"	2.95523458	
Nuckolls County	NE	"Nuckolls County, Nebraska"	2.748976758	
Otoe County	NE	"Otoe County, Nebraska"	9.97891778	59167
Barron County	WI	"Barron County, Wisconsin"	20.89714512	52703
Brown County	WI	"Brown County, Wisconsin"	195.7417572	62340
Buffalo County	WI	"Buffalo County, Wisconsin"	7.6084499	57829
Calumet County	WI	"Calumet County, Wisconsin"	63.62285337	75814
Chippewa County	WI	"Chippewa County, Wisconsin"	25.38531029	59742
Columbia County	WI	"Columbia County, Wisconsin"	29.49933957	68005
Crawford County	WI	"Crawford County, Wisconsin"	10.90210892	50595
Dodge County	WI	"Dodge County, Wisconsin"	39.41536146	60652
Door County	WI	"Door County, Wisconsin"	24.08599196	61560
Dunn County	WI	"Dunn County, Wisconsin"	20.63669621	58783
Eau Claire County	WI	"Eau Claire County, Wisconsin"	63.98092343	59476
Fond du Lac County	WI	"Fond du Lac County, Wisconsin"	55.88658586	62391
Forest County	WI	"Forest County, Wisconsin"	3.494261309	45536
Green County	WI	"Green County, Wisconsin"	24.52158718	64502
Green Lake County	WI	"Green Lake County, Wisconsin"	21.00705799	55075
Iron County	WI	"Iron County, Wisconsin"	3.125141225	43798
Jackson County	WI	"Jackson County, Wisconsin"	8.26400171	53650
Juneau County	WI	"Juneau County, Wisconsin"	13.4482321	53490
Kenosha County	WI	"Kenosha County, Wisconsin"	240.2527241	63733
La Crosse County	WI	"La Crosse County, Wisconsin"	103.2195118	57882
Lafayette County	WI	"Lafayette County, Wisconsin"	10.12257618	60691
Lincoln County	WI	"Lincoln County, Wisconsin"	12.48554081	58541
Manitowoc County	WI	"Manitowoc County, Wisconsin"	53.30486466	56612
Marinette County	WI	"Marinette County, Wisconsin"	11.55217431	50330
Marquette County	WI	"Marquette County, Wisconsin"	13.21033319	52288
Milwaukee County	WI	"Milwaukee County, Wisconsin"	1502.136204	50606
Monroe County	WI	"Monroe County, Wisconsin"	19.83174511	59587
Oconto County	WI	"Oconto County, Wisconsin"	15.08246077	60908
Outagamie County	WI	"Outagamie County, Wisconsin"	115.4901802	65572
Ozaukee County	WI	"Ozaukee County, Wisconsin"	151.6169258	85215
Pierce County	WI	"Pierce County, Wisconsin"	28.39307541	72323
Polk County	WI	"Polk County, Wisconsin"	18.99304215	59994
Price County	WI	"Price County, Wisconsin"	4.326986603	47956
Racine County	WI	"Racine County, Wisconsin"	229.5047783	61336
Rock County	WI	"Rock County, Wisconsin"	88.00163513	57875
Rusk County	WI	"Rusk County, Wisconsin"	5.996384937	47532
Sauk County	WI	"Sauk County, Wisconsin"	30.53509175	59943
Sawyer County	WI	"Sawyer County, Wisconsin"	5.548957784	47714
Shawano County	WI	"Shawano County, Wisconsin"	17.67107385	56531
Sheboygan County	WI	"Sheboygan County, Wisconsin"	89.09227927	60696
Taylor County	WI	"Taylor County, Wisconsin"	7.885168108	53020
Trempealeau County	WI	"Trempealeau County, Wisconsin"	16.20326087	58548
Vernon County	WI	"Vernon County, Wisconsin"	14.98144412	52459
Vilas County	WI	"Vilas County, Wisconsin"	10.37472845	47072
Walworth County	WI	"Walworth County, Wisconsin"	74.02281334	63776
Washburn County	WI	"Washburn County, Wisconsin"	8.051766163	50280
Washington County	WI	"Washington County, Wisconsin"	122.6157782	77663
Waukesha County	WI	"Waukesha County, Wisconsin"	285.8454309	87277
Waupaca County	WI	"Waupaca County, Wisconsin"	26.7551958	58693
Waushara County	WI	"Waushara County, Wisconsin"	15.11947052	52810
Winnebago County	WI	"Winnebago County, Wisconsin"	152.5323176	58543
Wood County	WI	"Wood County, Wisconsin"	36.1287467	54913
Albany County	WY	"Albany County, Wyoming"	3.348191051	49322
Big Horn County	WY	"Big Horn County, Wyoming"	1.418024774	52804
Campbell County	WY	"Campbell County, Wyoming"	3.781048192	82659
Carbon County	WY	"Carbon County, Wyoming"	0.710674511	60161
Converse County	WY	"Converse County, Wyoming"	1.247778477	69647
Crook County	WY	"Crook County, Wyoming"	0.971315169	65132
Fremont County	WY	"Fremont County, Wyoming"	1.649500047	55896
McCone County	MT	"McCone County, Montana"	0.2526547	
Meagher County	MT	"Meagher County, Montana"	0.311061827	
Mineral County	MT	"Mineral County, Montana"	1.43567186	
Musselshell County	MT	"Musselshell County, Montana"	0.977156085	
Petroleum County	MT	"Petroleum County, Montana"	0.115670351	
Phillips County	MT	"Phillips County, Montana"	0.316743063	
Powder River County	MT	"Powder River County, Montana"	0.198307507	
Powell County	MT	"Powell County, Montana"	1.152973851	54667
Prairie County	MT	"Prairie County, Montana"	0.241897103	
Ravalli County	MT	"Ravalli County, Montana"	7.133287549	53054
Richland County	MT	"Richland County, Montana"	2.12836715	67205
Roosevelt County	MT	"Roosevelt County, Montana"	1.769974867	43194
Rosebud County	MT	"Rosebud County, Montana"	0.642124236	57992
Sanders County	MT	"Sanders County, Montana"	1.734409986	40823
Sheridan County	MT	"Sheridan County, Montana"	0.814826341	
Silver Bow County	MT	"Silver Bow County, Montana"	18.893095	45718
Stillwater County	MT	"Stillwater County, Montana"	1.926056041	64645
Sweet Grass County	MT	"Sweet Grass County, Montana"	0.765322622	
Teton County	MT	"Teton County, Montana"	1.058221281	55000
Toole County	MT	"Toole County, Montana"	1.002323755	
Treasure County	MT	"Treasure County, Montana"	0.300889392	
Valley County	MT	"Valley County, Montana"	0.593953374	53162
Wheatland County	MT	"Wheatland County, Montana"	0.561586039	
Wibaux County	MT	"Wibaux County, Montana"	0.406687646	
Yellowstone County	MT	"Yellowstone County, Montana"	24.15180094	61264
Appling County	GA	"Appling County, Georgia"	14.01067646	40304
Atkinson County	GA	"Atkinson County, Georgia"	9.334899412	37197
Bacon County	GA	"Bacon County, Georgia"	15.1405965	37519
Baker County	GA	"Baker County, Georgia"	3.247276073	
Banks County	GA	"Banks County, Georgia"	29.93490474	47811
Barrow County	GA	"Barrow County, Georgia"	200.2119871	62345
Ben Hill County	GA	"Ben Hill County, Georgia"	26.54205565	32229
Bibb County	GA	"Bibb County, Georgia"	243.6080813	41334
Bleckley County	GA	"Bleckley County, Georgia"	22.50555256	48174
Brooks County	GA	"Brooks County, Georgia"	12.76166387	38285
Bryan County	GA	"Bryan County, Georgia"	39.47653762	72624
Burke County	GA	"Burke County, Georgia"	11.48264125	44151
Butts County	GA	"Butts County, Georgia"	53.4603127	43471
Camden County	GA	"Camden County, Georgia"	33.54602784	56951
Carroll County	GA	"Carroll County, Georgia"	92.16610722	53737
Catoosa County	GA	"Catoosa County, Georgia"	161.6004144	56235
Chatham County	GA	"Chatham County, Georgia"	263.2360126	56842
Chattahoochee County	GA	"Chattahoochee County, Georgia"	14.84727801	47096
Cherokee County	GA	"Cherokee County, Georgia"	244.4715317	82740
Clarke County	GA	"Clarke County, Georgia"	416.7010393	38623
Clayton County	GA	"Clayton County, Georgia"	811.1527815	47864
Cobb County	GA	"Cobb County, Georgia"	870.5972906	77932
Coffee County	GA	"Coffee County, Georgia"	28.09177688	40859
Columbia County	GA	"Columbia County, Georgia"	207.5729659	82339
Cook County	GA	"Cook County, Georgia"	29.11856364	41854
Crawford County	GA	"Crawford County, Georgia"	14.41432373	46283
Crisp County	GA	"Crisp County, Georgia"	28.50035561	36042
Dawson County	GA	"Dawson County, Georgia"	49.07678775	66281
DeKalb County	GA	"DeKalb County, Georgia"	1102.298201	62399
Dodge County	GA	"Dodge County, Georgia"	15.51141342	39302
Dougherty County	GA	"Dougherty County, Georgia"	100.7890919	39584
Douglas County	GA	"Douglas County, Georgia"	278.2591017	63835
Echols County	GA	"Echols County, Georgia"	3.395326993	
Elbert County	GA	"Elbert County, Georgia"	21.59449483	38678
Pawnee County	NE	"Pawnee County, Nebraska"	2.278593583	
Perkins County	NE	"Perkins County, Nebraska"	1.24925211	
Phelps County	NE	"Phelps County, Nebraska"	6.414655234	59040
Pierce County	NE	"Pierce County, Nebraska"	4.928244205	64511
Platte County	NE	"Platte County, Nebraska"	19.64507893	62305
Polk County	NE	"Polk County, Nebraska"	4.589172624	67719
Red Willow County	NE	"Red Willow County, Nebraska"	5.762946032	48808
Richardson County	NE	"Richardson County, Nebraska"	5.507040595	47917
Rock County	NE	"Rock County, Nebraska"	0.483253432	
Saline County	NE	"Saline County, Nebraska"	9.612511173	51502
Sarpy County	NE	"Sarpy County, Nebraska"	309.0809088	82032
Saunders County	NE	"Saunders County, Nebraska"	11.48518769	68682
Scotts Bluff County	NE	"Scotts Bluff County, Nebraska"	18.83715315	49745
Seward County	NE	"Seward County, Nebraska"	11.89800761	70389
Sheridan County	NE	"Sheridan County, Nebraska"	0.810995207	45371
Sherman County	NE	"Sherman County, Nebraska"	2.019033411	
Sioux County	NE	"Sioux County, Nebraska"	0.212039153	
Stanton County	NE	"Stanton County, Nebraska"	5.27494018	63986
Thayer County	NE	"Thayer County, Nebraska"	3.38726843	51821
Thomas County	NE	"Thomas County, Nebraska"	0.362490639	
Thurston County	NE	"Thurston County, Nebraska"	6.644252492	51034
Washington County	NE	"Washington County, Nebraska"	20.65872092	71430
Webster County	NE	"Webster County, Nebraska"	2.280026254	
Wheeler County	NE	"Wheeler County, Nebraska"	0.519561452	
Churchill County	NV	"Churchill County, Nevada"	1.990195998	57824
Clark County	NV	"Clark County, Nevada"	110.8385819	59340
Elko County	NV	"Elko County, Nevada"	1.207355756	81232
Esmeralda County	NV	"Esmeralda County, Nevada"	0.078581013	
Humboldt County	NV	"Humboldt County, Nevada"	0.692243556	67756
Lander County	NV	"Lander County, Nevada"	0.401125357	88030
Lyon County	NV	"Lyon County, Nevada"	11.41782703	56875
Mineral County	NV	"Mineral County, Nevada"	0.468722139	
Pershing County	NV	"Pershing County, Nevada"	0.42533617	50491
Storey County	NV	"Storey County, Nevada"	6.007177945	
White Pine County	NV	"White Pine County, Nevada"	0.394502058	60827
Carson City	NV	"Carson City, Nevada"	156.6457901	55718
Carroll County	NH	"Carroll County, New Hampshire"	20.76100252	63153
Cheshire County	NH	"Cheshire County, New Hampshire"	41.77194495	64751
Grafton County	NH	"Grafton County, New Hampshire"	20.59047561	63389
Hillsborough County	NH	"Hillsborough County, New Hampshire"	186.3001757	81460
Rockingham County	NH	"Rockingham County, New Hampshire"	174.4399694	93756
Strafford County	NH	"Strafford County, New Hampshire"	137.5255094	72960
Acadia Parish	LA	"Acadia Parish, Louisiana"	33.92663275	43396
Allen Parish	LA	"Allen Parish, Louisiana"	11.52605576	46446
Assumption Parish	LA	"Assumption Parish, Louisiana"	23.61253071	43759
Avoyelles Parish	LA	"Avoyelles Parish, Louisiana"	18.42141359	38565
Bienville Parish	LA	"Bienville Parish, Louisiana"	6.177397387	30272
Bossier Parish	LA	"Bossier Parish, Louisiana"	59.21132956	54268
Calcasieu Parish	LA	"Calcasieu Parish, Louisiana"	78.66032448	51148
Caldwell Parish	LA	"Caldwell Parish, Louisiana"	7.02937905	37691
Catahoula Parish	LA	"Catahoula Parish, Louisiana"	4.856645425	40129
Claiborne Parish	LA	"Claiborne Parish, Louisiana"	7.248421023	26776
De Soto Parish	LA	"De Soto Parish, Louisiana"	11.81149717	46006
East Baton Rouge Parish	LA	"East Baton Rouge Parish, Louisiana"	387.1862491	54948
East Feliciana Parish	LA	"East Feliciana Parish, Louisiana"	16.6427754	51803
Evangeline Parish	LA	"Evangeline Parish, Louisiana"	18.85541648	31965
Grant Parish	LA	"Grant Parish, Louisiana"	13.3079332	42505
Iberia Parish	LA	"Iberia Parish, Louisiana"	47.061286	46861
Jackson Parish	LA	"Jackson Parish, Louisiana"	10.19270965	39139
Goshen County	WY	"Goshen County, Wyoming"	2.168168947	54289
Johnson County	WY	"Johnson County, Wyoming"	0.785095247	58132
Laramie County	WY	"Laramie County, Wyoming"	14.44894624	66910
Lincoln County	WY	"Lincoln County, Wyoming"	1.855126771	66964
Niobrara County	WY	"Niobrara County, Wyoming"	0.362720471	
Park County	WY	"Park County, Wyoming"	1.648339323	63582
Sheridan County	WY	"Sheridan County, Wyoming"	4.731255133	60807
Sublette County	WY	"Sublette County, Wyoming"	0.689637243	77403
Teton County	WY	"Teton County, Wyoming"	2.253813096	84678
Uinta County	WY	"Uinta County, Wyoming"	3.792914815	63403
Weston County	WY	"Weston County, Wyoming"	1.10098465	57031
Adjuntas Municipio	PR	"Adjuntas Municipio, Puerto Rico"	104.32725	14012
Aguadilla Municipio	PR	"Aguadilla Municipio, Puerto Rico"	582.3521336	16269
Aguas Buenas Municipio	PR	"Aguas Buenas Municipio, Puerto Rico"	310.8721021	19279
Añasco Municipio	PR	"Añasco Municipio, Puerto Rico"	251.564096	19919
Arecibo Municipio	PR	"Arecibo Municipio, Puerto Rico"	269.0358425	18647
Barceloneta Municipio	PR	"Barceloneta Municipio, Puerto Rico"	467.9081643	17154
Barranquitas Municipio	PR	"Barranquitas Municipio, Puerto Rico"	326.7013806	17036
Cabo Rojo Municipio	PR	"Cabo Rojo Municipio, Puerto Rico"	258.7576158	16708
Caguas Municipio	PR	"Caguas Municipio, Puerto Rico"	838.3277955	25136
Camuy Municipio	PR	"Camuy Municipio, Puerto Rico"	273.4246378	17000
Carolina Municipio	PR	"Carolina Municipio, Puerto Rico"	1317.3976	29059
Cataño Municipio	PR	"Cataño Municipio, Puerto Rico"	1850.096851	17448
Ceiba Municipio	PR	"Ceiba Municipio, Puerto Rico"	150.3557455	18309
Ciales Municipio	PR	"Ciales Municipio, Puerto Rico"	98.56642665	16867
Coamo Municipio	PR	"Coamo Municipio, Puerto Rico"	171.5793208	19692
Comerío Municipio	PR	"Comerío Municipio, Puerto Rico"	256.7118079	13733
Culebra Municipio	PR	"Culebra Municipio, Puerto Rico"	59.41410334	
Dorado Municipio	PR	"Dorado Municipio, Puerto Rico"	599.2910764	30732
Florida Municipio	PR	"Florida Municipio, Puerto Rico"	296.8153254	20442
Guánica Municipio	PR	"Guánica Municipio, Puerto Rico"	143.6743399	12995
Guayama Municipio	PR	"Guayama Municipio, Puerto Rico"	217.3439202	17261
Guaynabo Municipio	PR	"Guaynabo Municipio, Puerto Rico"	1256.63743	35928
Gurabo Municipio	PR	"Gurabo Municipio, Puerto Rico"	562.4691173	35018
Hormigueros Municipio	PR	"Hormigueros Municipio, Puerto Rico"	532.7227338	19030
Humacao Municipio	PR	"Humacao Municipio, Puerto Rico"	439.4477126	20434
Jayuya Municipio	PR	"Jayuya Municipio, Puerto Rico"	128.1336098	14808
Juana Díaz Municipio	PR	"Juana Díaz Municipio, Puerto Rico"	298.092537	20657
Lajas Municipio	PR	"Lajas Municipio, Puerto Rico"	150.2629021	13992
Lares Municipio	PR	"Lares Municipio, Puerto Rico"	176.5884771	16532
Las Marías Municipio	PR	"Las Marías Municipio, Puerto Rico"	73.90576494	14135
Las Piedras Municipio	PR	"Las Piedras Municipio, Puerto Rico"	400.9189089	21667
Loíza Municipio	PR	"Loíza Municipio, Puerto Rico"	472.1656524	17852
Luquillo Municipio	PR	"Luquillo Municipio, Puerto Rico"	265.9779909	21850
Manatí Municipio	PR	"Manatí Municipio, Puerto Rico"	337.7895893	18502
Maricao Municipio	PR	"Maricao Municipio, Puerto Rico"	50.13086528	12441
Maunabo Municipio	PR	"Maunabo Municipio, Puerto Rico"	193.1710028	20844
Mayagüez Municipio	PR	"Mayagüez Municipio, Puerto Rico"	363.2519211	14236
Moca Municipio	PR	"Moca Municipio, Puerto Rico"	287.3061494	15037
Morovis Municipio	PR	"Morovis Municipio, Puerto Rico"	285.3405444	20941
Naguabo Municipio	PR	"Naguabo Municipio, Puerto Rico"	174.7836231	19432
Naranjito Municipio	PR	"Naranjito Municipio, Puerto Rico"	412.0239643	18883
Orocovis Municipio	PR	"Orocovis Municipio, Puerto Rico"	130.0698682	15099
Patillas Municipio	PR	"Patillas Municipio, Puerto Rico"	132.4405589	16007
Peñuelas Municipio	PR	"Peñuelas Municipio, Puerto Rico"	176.5252196	16718
Ponce Municipio	PR	"Ponce Municipio, Puerto Rico"	461.8617953	17069
Quebradillas Municipio	PR	"Quebradillas Municipio, Puerto Rico"	402.3646609	17473
Emanuel County	GA	"Emanuel County, Georgia"	12.9166992	37453
Fannin County	GA	"Fannin County, Georgia"	25.25340375	47997
Fayette County	GA	"Fayette County, Georgia"	236.5394241	90145
Forsyth County	GA	"Forsyth County, Georgia"	431.9375983	107218
Fulton County	GA	"Fulton County, Georgia"	781.969114	69673
Gilmer County	GA	"Gilmer County, Georgia"	28.40237314	52625
Glynn County	GA	"Glynn County, Georgia"	77.74661112	52977
Gordon County	GA	"Gordon County, Georgia"	62.33219727	45865
Greene County	GA	"Greene County, Georgia"	18.84593921	52129
Gwinnett County	GA	"Gwinnett County, Georgia"	857.8484956	71026
Hall County	GA	"Hall County, Georgia"	199.5768287	62984
Haralson County	GA	"Haralson County, Georgia"	40.93980838	48550
Harris County	GA	"Harris County, Georgia"	28.8601695	76319
Hart County	GA	"Hart County, Georgia"	42.90574896	43204
Heard County	GA	"Heard County, Georgia"	14.88714579	51358
Henry County	GA	"Henry County, Georgia"	291.6134065	71288
Houston County	GA	"Houston County, Georgia"	168.0089378	61723
Irwin County	GA	"Irwin County, Georgia"	10.53176091	37736
Jackson County	GA	"Jackson County, Georgia"	86.28629028	65385
Jasper County	GA	"Jasper County, Georgia"	15.28871809	51250
Jeff Davis County	GA	"Jeff Davis County, Georgia"	17.24351383	36669
Jefferson County	GA	"Jefferson County, Georgia"	11.51879303	33944
Jenkins County	GA	"Jenkins County, Georgia"	9.642394213	27375
Johnson County	GA	"Johnson County, Georgia"	11.70848838	42446
Jones County	GA	"Jones County, Georgia"	27.78289194	56020
Lamar County	GA	"Lamar County, Georgia"	38.92570082	44846
Lanier County	GA	"Lanier County, Georgia"	19.40354184	40986
Laurens County	GA	"Laurens County, Georgia"	23.70647349	39120
Lee County	GA	"Lee County, Georgia"	35.97904003	69280
Liberty County	GA	"Liberty County, Georgia"	48.783912	48007
Lincoln County	GA	"Lincoln County, Georgia"	14.11307556	39742
Long County	GA	"Long County, Georgia"	15.59102952	54605
Lumpkin County	GA	"Lumpkin County, Georgia"	45.6974049	51790
McIntosh County	GA	"McIntosh County, Georgia"	9.823648846	49504
Macon County	GA	"Macon County, Georgia"	11.64294518	32161
Marion County	GA	"Marion County, Georgia"	7.915882125	44643
Meriwether County	GA	"Meriwether County, Georgia"	15.88863871	37121
Mitchell County	GA	"Mitchell County, Georgia"	16.40051068	38116
Montgomery County	GA	"Montgomery County, Georgia"	13.78563764	41996
Morgan County	GA	"Morgan County, Georgia"	22.33518434	66178
Muscogee County	GA	"Muscogee County, Georgia"	369.0299209	46408
Newton County	GA	"Newton County, Georgia"	158.6170067	56316
Oglethorpe County	GA	"Oglethorpe County, Georgia"	13.0368026	47120
Paulding County	GA	"Paulding County, Georgia"	208.4849971	68370
Pickens County	GA	"Pickens County, Georgia"	55.26503248	67631
Pike County	GA	"Pike County, Georgia"	33.75081858	64878
Polk County	GA	"Polk County, Georgia"	53.31519581	44891
Putnam County	GA	"Putnam County, Georgia"	24.69638549	51606
Quitman County	GA	"Quitman County, Georgia"	5.705852563	
Randolph County	GA	"Randolph County, Georgia"	5.792848319	31699
Rockdale County	GA	"Rockdale County, Georgia"	278.2941949	60189
Schley County	GA	"Schley County, Georgia"	10.51837275	44448
Seminole County	GA	"Seminole County, Georgia"	14.86752518	33357
Spalding County	GA	"Spalding County, Georgia"	132.6066694	47111
Stewart County	GA	"Stewart County, Georgia"	4.472487768	29732
Sumter County	GA	"Sumter County, Georgia"	23.68055647	36681
Taliaferro County	GA	"Taliaferro County, Georgia"	3.093075116	
Taylor County	GA	"Taylor County, Georgia"	8.011372623	33832
Telfair County	GA	"Telfair County, Georgia"	11.01604065	32405
Thomas County	GA	"Thomas County, Georgia"	32.46720549	43740
Jefferson Parish	LA	"Jefferson Parish, Louisiana"	565.4987615	54032
Lafayette Parish	LA	"Lafayette Parish, Louisiana"	347.2177484	56999
Lafourche Parish	LA	"Lafourche Parish, Louisiana"	35.27553236	55506
